종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","5040","0","0.00","228073905360"
"006840","AK홀딩스","KOSPI","기타금융","7800","-30","-0.38","103330975800"
"027410","BGF","KOSPI","기타금융","4265","-10","-0.23","408232113615"
"282330","BGF리테일","KOSPI","유통","120700","-700","-0.58","2086167454200"
"138930","BNK금융지주","KOSPI","기타금융","18480","-280","-1.49","5734843569840"
"001460","BYC","KOSPI","섬유·의류","46100","1650","3.71","287947515000"
"001465","BYC우","KOSPI","섬유·의류","27100","400","1.50","58369335000"
"001040","CJ","KOSPI","기타금융","197000","-3000","-1.50","5747868606000"
"079160","CJ CGV","KOSPI","오락·문화","4820","-135","-2.72","798107004120"
"00104K","CJ4우(전환)","KOSPI","기타금융","171100","-3400","-1.95","723156203200"
"000120","CJ대한통운","KOSPI","운송·창고","112800","-5100","-4.33","2573232403200"
"011150","CJ씨푸드","KOSPI","음식료·담배","2660","-30","-1.12","95575856180"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","13540","-270","-1.96","2708000000"
"001045","CJ우","KOSPI","기타금융","89500","200","0.22","202289958500"
"097950","CJ제일제당","KOSPI","음식료·담배","200000","-3500","-1.72","3010837200000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","128700","-1300","-1.00","170840627100"
"000480","CR홀딩스","KOSPI","비금속","4950","-20","-0.40","232107925500"
"000590","CS홀딩스","KOSPI","기타금융","78900","900","1.15","91088629800"
"012030","DB","KOSPI","IT 서비스","1739","-52","-2.90","349841469487"
"005830","DB손해보험","KOSPI","보험","184500","-5300","-2.79","12801348000000"
"016610","DB증권","KOSPI","증권","13740","-290","-2.07","583213384860"
"000990","DB하이텍","KOSPI","전기·전자","87900","0","0.00","3824053285200"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","21950","-900","-3.94","433057696000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","51300","1450","2.91","1075036849200"
"000215","DL우","KOSPI","화학","25200","0","0.00","42490098000"
"375500","DL이앤씨","KOSPI","건설","51900","300","0.58","2008199033700"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","37650","-500","-1.31","79514955150"
"37550K","DL이앤씨우","KOSPI","건설","26000","0","0.00","54961010000"
"007340","DN오토모티브","KOSPI","전기·전자","39600","1650","4.35","2317030254000"
"004840","DRB동일","KOSPI","화학","5460","80","1.49","108817800000"
"155660","DSR","KOSPI","금속","4100","0","0.00","65600000000"
"069730","DSR제강","KOSPI","금속","4800","-40","-0.83","69120000000"
"017860","DS단석","KOSPI","화학","19930","580","3.00","350453345160"
"092780","DYP","KOSPI","운송장비·부품","4450","-110","-2.41","58599647000"
"017940","E1","KOSPI","유통","99700","900","0.91","683942000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4290","-20","-0.46","1055721810000"
"383220","F&F","KOSPI","섬유·의류","60100","-2000","-3.22","2302255207500"
"007700","F&F홀딩스","KOSPI","기타금융","18370","140","0.77","718530921790"
"114090","GKL","KOSPI","오락·문화","12010","-240","-1.96","742886596700"
"078930","GS","KOSPI","기타금융","65400","-1100","-1.65","6076665721200"
"006360","GS건설","KOSPI","건설","25950","300","1.17","2220839665500"
"001250","GS글로벌","KOSPI","유통","2540","-15","-0.59","209635760560"
"007070","GS리테일","KOSPI","유통","19950","100","0.50","1667967929250"
"078935","GS우","KOSPI","기타금융","54300","-800","-1.45","96916051800"
"499790","GS피앤엘","KOSPI","기타금융","49750","-650","-1.29","986584339750"
"012630","HDC","KOSPI","기타금융","25050","0","0.00","1496530111050"
"039570","HDC랩스","KOSPI","건설","8530","0","0.00","221418336530"
"089470","HDC현대EP","KOSPI","화학","5240","-30","-0.57","167156000000"
"294870","HDC현대산업개발","KOSPI","건설","21550","-550","-2.49","1420302961500"
"267270","HD건설기계","KOSPI","기계·장비","131700","4100","3.21","6318191340600"
"009540","HD한국조선해양","KOSPI","기타금융","413500","-11500","-2.71","29264683466000"
"267250","HD현대","KOSPI","기타금융","261000","-14500","-5.26","20617195185000"
"443060","HD현대마린솔루션","KOSPI","일반서비스","178200","-5200","-2.84","7988943897000"
"071970","HD현대마린엔진","KOSPI","기계·장비","77600","-3100","-3.84","2632308012000"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","136300","4600","3.49","1526560000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","958000","-16000","-1.64","34533155330000"
"329180","HD현대중공업","KOSPI","운송장비·부품","567000","-23000","-3.90","59513014575000"
"097230","HJ중공업","KOSPI","건설","27800","200","0.72","2510210563200"
"014790","HL D&I","KOSPI","건설","3140","-70","-2.18","118876007140"
"003580","HLB글로벌","KOSPI","유통","2035","0","0.00","103100232675"
"204320","HL만도","KOSPI","운송장비·부품","53000","-1400","-2.57","2488727360000"
"060980","HL홀딩스","KOSPI","기타금융","44800","-850","-1.86","406732345600"
"011200","HMM","KOSPI","운송·창고","20850","-250","-1.18","19666511674500"
"035000","HS애드","KOSPI","일반서비스","8700","-70","-0.80","141006502800"
